 	ActiveWear								
Covalex_LogIn	LOG_IN\nREQUIRED								
Covalex_LogInText	PLACE FINGERS ON KEYPAD\nFOR VERIFICATION SCAN								
Covalex_Messages	NEW\nMESSAGES\nPENDING								
Covalex_QuantumSensitiveDelivery_DescPointer	~mission(Contractor|QuantumSensitiveDeliveryDesc)								
Covalex_QuantumSensitiveDelivery_Desc_001	"こんにちは！\n\nコバレックスではちょっとした問題が発生しています。ディルタメックスの出荷が間違った場所に届いてしまったので、できるだけ早く正しい場所に届けたいと思っています。顧客のために最低限できることです。\n\n通常であれば、完全装備の貨物船で配送するのですが、時間がないので、あなたにお願いしたいのですが、船に乗せている間はQTをしないでください。\n\n理想的ではありませんが、燃料が満タンであれば問題ありません。詳細は以下の通りです。\n\n~mission(Itinerary)\n\n
覚えておいてほしいのは、ゆっくりと着実に、でも可能な限り速く！ということです。\n\nチェイス・ヒューイット\nJr. ロジスティクス・コーディネーター\nコバレックス配送\n'必要なものを、必要な場所へ。'\n\n\n\n\n\n\n\nコバレックス配送は、有限責任会社です。本契約を受諾することにより、あなたは当社の拡張版である「Independent Workers Supplemental Information Guide v.2948.01.29」に記載されているすべての条件に同意したことになります。Covalex Shippingは、独立した契約者として活動している間に発生したいかなる損害に対しても責任を負いません。"								
Covalex_QuantumSensitiveDelivery_Desc_002	"こんにちは！\n\n問題が発生しましたので、ご相談させてください。\n\nディルタメックスの貨物が間違った住所に配送されたので、できるだけ早く正しく配送する必要があります。\n\nさらに複雑なことに、ご存知かどうかはわかりませんが、ディルタメックスは量子感応性があり、適切にシールドされた船内でないとQTができないのです。\n\n通常であれば、適切な設備を持った業者を連れてくるのですが、すでにすべてが遅れているため、昔ながらの方法でこれを届けてくれると信じています。\n\n詳細は以下の通りです。\n\n~mission(Itinerary)\n\n
また、通常の速度で飛行することになりますので、出発前に燃料タンクを満タンにしておくことをお勧めします。途中で足止めを食らうのは避けたい。\n\n困ったときに助けてくれてありがとう！\n\nチェイス・ヒューイット\nJr. ロジスティクス・コーディネーター\nコバレックス配送\n'必要なものを、必要な場所へ。'\n\n\n\n\n\n\n\nコバレックス配送は、有限責任会社です。本契約を受諾することにより、あなたは当社の拡張版である「Independent Workers Supplemental Information Guide v.2948.01.29」に記載されているすべての条件に同意したことになります。Covalex Shippingは、独立した契約者として活動している間に発生したいかなる損害に対しても責任を負いません。"								
Covalex_QuantumSensitiveDelivery_Desc_003	こんにちは！\n\nいくつかのフォームが間違って処理されたため、ディルタメックスの貨物が間違った住所に配送されてしまったようです。残念ながら、元の輸送船がシステムを離れた後に初めて間違いに気付いたので、今は別のパイロットに正しく配送を終えてもらう必要があります。\n\nなぜ元の船に任せた方が良かったかというと、配達されたのが量子感応型のディルタメクスだったからです。適切なシールドがなければ、量子ドライブを使わずに 配達しなければならないでしょう さもないと、貨物（と自分の船）を損傷するリスクがあります \n\n詳細は以下の通りです - \n\n~mission(Itinerary)\n\nでもね、たまにはゆっくり飛んでみるのもいいかもね。綺麗な景色を見ることができるんだから 燃料が満タンであれば、ゆっくりと飛行を楽しむことができます。\n\nご協力ありがとうございました。\n\nチェイス・ヒューイット\nJr. ロジスティクス・コーディネーター\nコバレックス配送\n'必要なものを、必要な場所へ。'\n\n\n\n\n\n\n\nコバレックス配送は、有限責任会社です。本契約を受諾することにより、あなたは当社の拡張版である「Independent Workers Supplemental Information Guide v.2948.01.29」に記載されているすべての条件に同意したことになります。Covalex Shippingは、独立した契約者として活動している間に発生したいかなる損害に対しても責任を負いません。								
Covalex_QuantumSensitiveDelivery_Itinerary	配達日程表\n\n荷物の受け取り\n    ・ ~mission(Pickup1|Address) から全ての荷物を回収する。\n\n配送先 (順不同)\n    ・ 荷物 #~mission(item1|serialnumber) を ~mission(DropOff1|Address) に届ける。\n    ・ 荷物 #~mission(item2|serialnumber) を ~mission(DropOff2|Address) に届ける。\n								
Covalex_QuantumSensitiveDelivery_Itinerary_Stanton1	"配達日程表\n\nパッケージ受け取り\n    ・ ~mission(Pickup1|Address) から荷物を受け取る。\n\n配送先\n    ・ ~mission(DropOff1|Address) に荷物を届ける。\n\n
"								
Covalex_QuantumSensitiveDelivery_Title_001									
Covalex_Reaction_BadStreak_001	君にはあまり運がないようだね？あまり大げさなことは言いたくありませんが、ここ数件の契約におけるあなたのパフォーマンスの統計は、平均を大きく下回っています。しかし、あなたの運が完全に尽きたわけではありません。コバレックスは、才能を育て、私たちの失敗から人々が学ぶことを堅く信じています（ありがたいことに、そうでなければ私はここにいないでしょう :p）。だからこそ、すべてを学びの経験として過去に置き、未来に向かって立ち向かいましょう！？								
Covalex_Reaction_BadStreak_002	これは、私が楽しみにしていない仕事の一部です。最近の一連の契約について話さなければなりません。思うようにいかないことが多いのでは？砂糖でごまかすつもりはありませんが、あなたのパフォーマンス・スタッツはそれほどホットではありません。だが、過去を補うには、今しかないと言うだろう。君の実力を見せてもらおうじゃないか。								
Covalex_Reaction_BadToGood_001	最後の仕事で、あなたは本当に好転しましたね! 凄いじゃないか この調子で頑張ろう！								
Covalex_Reaction_BadToGood_002	業績回復おめでとうございます。応援していたのですが、案の定、最後の仕事で、いざとなればやり遂げることができることを証明してくれましたね。あとは、この勢いを維持するだけですね。								
Covalex_Reaction_Bad_001	こんなことはしたくないのですが、前回の契約について確認したいことがあります。何か問題があったようですね。しかし、何が悪かったのか、そして次の契約に向けて改善できることを3つ考える時間を持つことをお勧めします。これは、私がいつも自分のパフォーマンスを向上させるために行っているちょっとしたエクササイズです。人生とはそんなものではないでしょうか？さて、話をエキサイティングな新しいビジネスに戻しましょう。								
Covalex_Reaction_Bad_002	話は変わりますが、前回の契約でのあなたのパフォーマンスについて簡単に触れたいと思います。満足のいくものではなかったと私はメモしています。ただのオフだったのかもしれませんが、今回の契約を機に、あなたの実力を見せつけてほしいと強く思います。								
Covalex_Reaction_GoodStreak_001	自分の記録を振り返ってみると、なんということでしょう。最近、あなたは素晴らしい仕事をしていますね。他のJr.ロジスティクス・オペレーターにも君の話をしたんだ。他のJr.ロジスティクス・オペレーターにも君の話をしたんだけど、君は聞いていないだろうけど、彼らは僕がこんな優秀な契約者と一緒に仕事をしていることにかなり嫉妬しているよ。この調子でいけば、二人ともコバレックスのスターになれるかも！？								
Covalex_Reaction_GoodStreak_002	まず最初に、私やコバレックス配送のスタッフ全員が、あなたの努力にどれだけ感謝しているかをお伝えしたいと思います。あなたは常に私の期待以上の契約をこなしてくれています。もう、あなたの自画自賛は十分でしょう！？								
Covalex_Reaction_GoodToBad_001	正直に言うと、前回の契約の報告書を見て少し驚いたよ。あんなにうまくいっていたのに。とりあえず、たまたまだと思って次の仕事に集中しましょうか。								
Covalex_Reaction_GoodToBad_002	お聞きしたいのですが、前回の契約では、私と同じようにがっかりされましたか？あんなにいい成績を残していたのに でも、心配しないでください。誰にでもミスはある。そのミスをどうするかが重要なのだ。挑戦して失敗するよりも、挑戦して失敗する方がいい」という言葉がありますよね。								
Covalex_Reaction_Good_001	私の記録によると、あなたは最後の契約で素晴らしい仕事をしましたね 私は個人的によくやったと言いたかった。そのようなパフォーマンスを、コバレックスはとても気に入っています。								
Covalex_Reaction_Good_002	前回の契約では素晴らしい仕事をしてくれましたし、あなたの努力は見過ごされていませんよ、と言いたかったのです！？								
Covalex_Reaction_LastWarning_001	最近のあなたのパフォーマンスに問題があるので、もしあなたが状況を好転させなければ、コバレックスはあなたを試用期間の懲戒処分にして、アクティブな契約者の地位から外すことになると思います。しかし、心配しないでください。この契約は、あなたがコバレックス配送の高い基準を満たすためにどれだけ献身的であるかを示すチャンスなのです。あなたならきっとうまくやれるはずです。								
Covalex_Reaction_LastWarning_002	悪いニュースがあります。あなたのコバレックスでの仕事が、あまり「アクティブ」ではない役割に移行するかもしれないという通知を受けました。あなたの実績は満足できるものではなかったようですね。いい知らせは、今からでも遅くないから、人の心を変えることができるということだ。この次の契約をゴールに叩き込めば、あなたがまだ何かを持っていることが証明されますよ。								
Covalex_Reaction_Renew_001	最後に話をしてから少し時間が経ってしまいましたが、私のマネージャーが、あなたがコバレックスのインディペンデント・コントラクターとしての活動を再開するために、もう一度「評価試験」を行うことを許可することに同意したことをご報告します。私は人に自分自身を証明するチャンスをもう一度与えることを確信しています。								
Covalex_Reaction_Renew_002	良いニュースがあります。私たちは、試用期間中の契約者リストに目を通し、再検討に値する候補者がいないか確認するよう指示されました。あなたがすぐに思い浮かびました。どうですか？白紙に戻して、もう一度やり直してみませんか？								
Covalex_RepUI_Area	UEE								
Covalex_RepUI_Description	コバレックスは、独立した船会社と契約する方針をとっており、バースでは最大級の運送会社です。これは、独立した船主と契約することで、会社の成功に向けてより多くの投資を行い、より高いレベルのパフォーマンスを実現することができるということを早くから学んでいたからです。ほとんどのシステムでは、常時、飛行中の船舶の大部分がコバレックスとの契約に基づいて稼働しています。								
Covalex_RepUI_Focus	配送、運搬、クーリエサービス								
Covalex_RepUI_Founded	2782								
Covalex_RepUI_Headquarters	アンジェリ、クロショーシステム								
Covalex_RepUI_Leadership	ギルバート・マラゴン（CEO)								
Covalex_RepUI_Name	コバレックス社								
Covalex_Rivals	該当なし								
Covalex_SignOff_001	迅速なサービスに感謝しています。								
Covalex_SignOff_002	頑張ってくださいね。								
Covalex_SignOff_003	では、また。								
Covalex_SignOff_004	"そして、私の壁のポスターにあるように、「Bee Safe, Honey!"								
Covalex_SignOff_005	早く結果を聞きたいですね。								
Covalex_SignOff_006	良い旅を。								
Covalex_SignOff_007	楽しい旅を、そして安全に飛んでください。								
Covalex_SignOff_008	私はあなたを応援しています。誇りに思ってください。								
Covalex_Timed_001	この注文は「急ぎの優先事項」としてフラグが立てられていますので、指定された時間内に契約を完了することが求められます。問題にならないといいのですが？								
Covalex_Timed_002	この契約にはタイトな締め切りがあるので、時計に気をつけてください。								
Covalex_Timed_003	それに、指定された期限までにすべてを終わらせてほしい。顧客の満足度を維持するために！？								
Covalex_Timed_004	"これは ""急ぎの仕事 ""だ。遅れは許されないということだ。"								
Covalex_Timed_005	"お客様から ""急ぎの仕事 ""を依頼されているので、時間を気にしながら仕事をしなければなりません。"								
Criminal_LocalDelivery_desc_01	物資が不足しているのでパイロットを増員してください。\n\n農場から原料を取ってきて、研究室に置いて、精製されたものを隠し場所に持っていって、カットして、パッケージして、最終製品をランナーに渡します。\n\n混乱しないように、ここではわかりやすく説明しています。 -\n\n~mission(Itinerary)\n\nそして、警備員が嗅ぎ回らないように、最後の引き渡しの際にはデッドドロップを用意しました。\n\nシンプルに、計画通りに進めていけば、順風満帆な旅になるはずです。リストに書かれていることをすべてやっておけば、クレジットのいいカットをもらえるでしょう。\n								
Criminal_LocalDelivery_desc_02	~mission(DropOff1) では枯渇し始めていて、新しいバッチを作る必要があるんだ。 \n\nあなたには、私たちの農場から食卓までをサポートしてもらえますか？\n\n~mission(Itinerary)\n\n最後のデッドドロップをしてくれたら、ご褒美に太いお裾分けがもらえます。\n\nあと、お願いがあります。逮捕されないようにしてね。\n								
Criminal_LocalDelivery_desc_03	不幸な事故のおかげでパイロットが一人減ってしまったんだけど、腐る前に市場に出せるように、すぐに処理してパッケージ化しなければならないものがあるんだ。\n\n必要なものは以下の通りだ。 -\n\n~mission(Itinerary)\n\nセキュリティに問題があるのはわかっているから、控えめにして、~mission(DropOff1)にあるデッドドロップを使うときは微妙な感じにしてくれ。\n								
Criminal_LocalDelivery_title_01	リ・アップ調達								
Criminal_Localdelivery_header_01	リ・アップ調達								
Criminal_Steal_Danger_Easy_001	犯罪、ちょっとした危険 プレースホルダーテキスト								
Criminal_Steal_Danger_Medium_001	犯罪、中程度の危険 プレースホルダー テキスト								
Criminal_Steal_Easy_Desc_001	犯罪、ちょっとした危険 説明文 プレースホルダ・テキスト?~mission(Danger) (Contractor|StealEasyTimed)								
Criminal_Steal_Easy_Title_001	犯罪、ちょっとした危険 タイトル プレースホルダ・テキスト								
Criminal_Steal_Medium_Desc_001	犯罪、中程度の危険 説明文 プレースホルダーテキスト?~mission(Danger) (Contractor|StealEasyTimed)								
Criminal_Steal_Medium_Title_001	犯罪、中程度の危険 タイトル プレースホルダテキスト								
Criminal_Steal_Timed_Easy_001	犯罪、ちょっとした危険 時限プレースホルダ・テキスト								
Criminal_Steal_Timed_Medium_001	犯罪、中程度の危険 時限プレースホルダーテキスト								
Criminal_from	送信者が見つかりません								
Crus_HistMarker_From	クルセイダー歴史協会								
Crus_HistMarker_Text_01	"有名なミュージシャンであるカロリン 'Vortex' トーソンは、2915年1月8日にこの地で生まれました。彼女の家族が乗っていた船は、彼女の誕生を促すために近くの前哨基地に向かう途中で停泊しました。10代の頃、ドラムを叩くスピードと器用さから ""Vortex ""というニックネームで呼ばれていました。Firmamentの創設メンバーとして、彼女はポピュラー音楽の再定義に貢献し、10年以上にわたってUEEで最も有名で真似されるドラマーとなった。  "								
Crus_HistMarker_Text_02	2938年、ヒックス研究所で働くRayariの科学者たちは、画期的な非ステロイド性抗炎症剤（NSAID）を開発した。セプロジンと呼ばれるこの薬は、他の非ステロイド系抗炎症剤にありがちな副作用がなく、痛みを和らげ、炎症を抑えることができるため、人工関節置換手術の際に広く使用されている。								
Crus_HistMarker_Text_03	2941年、テラミルズの研究者たちは、チェリンのユニークな土壌成分と遺伝子強化を組み合わせ、「テラベリー」と名付けた新しいフルーツハイブリッドを開発した。独特の酸味を持つ紫色の果実は、他の果実よりも長く熟すため、星間輸送に適しています。								
Crus_HistMarker_Text_04	ここにバスティアン・ネミッツを救ったシェルターがある。2930年、クルセイダー・インダストリーズ社はこの著名な冒険家を雇い、自社の月の美しさと多様性をアピールするために、各月をハイキングしながら毎日最新情報を提供してもらった。CellinとYelaでの旅を成功させた後、Nemitzは6月24日にYelaでの日記をアップロードできなかった。捜索隊が結成されたが、彼は見つからなかった。数日後、ネミッツはこのシェルターからクルセイダー当局に連絡を取った。転倒して足首を骨折し、モビも壊れた状態でここまで来ていたのだ。救助されたネミッツは回復し、タラライン・ディバイドのシェルターに戻り、イェーラ周辺の旅を終えた。								
Crus_HistMarker_Text_05	このシェルターは、イーサン・ホールトン氏の友人や家族からの惜しみない寄付によって建てられたものです。中村渓谷には大きな岩が点在しており、無秩序なオープンキャノピーレースの人気スポットとなっている。しかし、2917年にアマチュアレーサーのイーサン・ホールトン氏が、連続するタイトなターンに耐えられず、レース中の事故で亡くなりました。イーサンと同じ運命をたどる選手が出ないように、2918年にはこの緊急シェルターが建てられた。								
Crus_HistMarker_Text_06	クルセイダーの初代緊急対策本部長はマリオ・コッソ。クルセイダーの月で困っている人をサポートしたり、救助したりするために設立され、この盆地から発信された最初の遭難信号への対応を指揮した。2938年に引退した彼を記念して、この盆地が命名された。								
Crus_HistMarker_Text_07	2918年に著名な写真家ジュリアナ・アストンが撮影した、暗くなった空に照らされたイェラのリングの有名な写真がここにある。2928年には彼女に敬意を表して「アストン・リッジ」と正式に命名されたほど、彼女の作品と縁の深い場所である。								
Crus_HistMarker_Text_08	複数の峡谷が交差する場所に位置するウルフポイントは、クルセイダーの測量士であるキャリー・ストローブが最初の報告書に興奮気味にこう記したことでその名がついた。彼らの鳴き声は周囲数キロに渡って聞こえてくる」と興奮気味に書いていた。しかし、その後の調査で、オオカミは仲間の測量士のいたずらであることが判明し、この名前が定着した。								
Crus_HistMarker_Text_09	この尾根は、クルセイダー社の元CEOであるオーガスト・ダンローにちなんで名付けられた。クルセイダー・インダストリー社を今日のような会社にしたのは、ダンロー氏のビジョンがあったからだと多くの人が思っている。その意味で、デイマーの風景を一望できる「ダンロー・リッジ」は、彼に敬意を表して名付けられました。								
Crus_HistMarker_Text_10	デイマーのこの地区は、この地に住んでいた風変わりなアーティストにちなんで「イーガー・フラット」と呼ばれるようになりました。ノーマン・イーガーは2920年代に、このフラットの上空を飛ぶ船からも見えるほど巨大なアート作品を次々と制作して有名になった。イーガーは「エフェメラルアート」と呼んでいたが、これらの作品は永久に残るものではなかった。それどころか、常に渦巻く月の砂に埋もれて、ゆっくりと劣化していった。								
Crus_HistMarker_Text_11	タムドン平原は、2912年に容疑者を追ってこの平原を横断中に待ち伏せされて殉職したアドヴォカシーのクリスタ・タムドン氏にちなんで名付けられた。								
Crus_HistMarker_Text_12	2923年から2927年にかけて、謎の支援者がこの緊急シェルターに自家製マーマレードの瓶を備蓄していた。遭難したパイロットが最初に報告したところ、噂が広まって多くの旅行者がこのジャムを試しにシェルターを訪れた。2927年、ある記者がこの甘いお菓子を置いていった人を調べようとしたところ、マーマレードの供給は不思議なことに途絶えてしまった。しかし、この伝統は、今もなお、この場所にジャムを置いていく多くの訪問者によって守られている。								
Crus_HistMarker_Text_13	クルセイダーのリードシップデザイナーであったシェリー・アッシュバーンは、水平線上にクルセイダー号が浮かぶ絵のように美しいアングルのこの場所に魅せられた。彼女は創造的なエネルギーを注ぐためにしばしばこの場所を訪れ、チームの間では「アッシュバーン・チャンネル」という愛称で呼ばれていました。2940年に彼女が引退した後、この場所は正式にその名称を採用した。								
Crus_HistMarker_Text_14	2936年、クルセイダー・インダストリー社は、自社の月をテーマにした旅行記のコンテストを開催した。ドネル・フラナガンが書いた旅行記が最優秀賞に選ばれ、彼の冒険の舞台となったこの場所は、彼にちなんで命名された。								
Crus_HistMarker_Text_15	クルセイダー社のCEOであるケリー・キャプラン氏は、チェリンのこの部分の風景を気に入り、この渓谷を彼女の愛犬ジュレップにちなんで命名することを希望した。								
Crus_HistMarker_Text_16	2912年8月25日、レイクドラ・ウォルシュがイェラで初めての地上車両レースを開催し、優勝しました。このトラックは、地上の乗り物レースの愛好家の間で有名になり、その後、月面で最初の公式レーストラックの場所となった。								
Crus_HistMarker_Text_17	2906年、この場所にダーネル・アジャイがデイマーで最初の恒久的な家を建てた。								
Crus_HistMarker_Text_18	2906年のこの場所で、フィリップ・ズーがセリンに最初の永住権を持つホームステッドを建てた。								
Crus_HistMarker_Text_19	2907年のこの場所で、ウィルマ・イヴァリーがイェーラに最初の永久保存可能な家屋敷を建てた。								
Crus_HistMarker_Text_20	2929年10月23日、この峡谷に不時着したアミール・トレメインを追ったのは、ハーストンとクルセイダー・セキュリティの部隊とともにアドボカシーのエージェントたちだった。指名手配中の逃亡者は、船の破片を使って急遽、その場しのぎの要塞を作った。こうして、警察官との劇的な3日間のにらみ合いが始まり、アドボカシーがトレメインを生け捕りにしようとしたが失敗し、血まみれになった最後の瞬間まで、ノンストップで放送されました。								
Crus_HistMarker_Text_21	2904年10月2日、チャド・フォーリーは、地上車両でのチェリン一周を初めて成功させました。								
Crus_HistMarker_Text_22	2934年、エスター・ハーストンは家族から高額な身代金を得ようとする無法者に誘拐され、静止ポッドに入れられた。その12歳の少女の冷凍ポッドを乗せた船は、レジタグが危険にさらされた後、ここに隠れた。ある無法者がきれいなレジタグを手に入れようとしたとき、サルベージャーのマック・ペトロスキーが船を発見。彼は船の位置を報告し、当局が現場に到着するまでの間、近くに隠れて船を監視していた。ペトロスキーは、エスターとその家族との再会に際し、クルセイダーセキュリティーから表彰された。								
Crus_HistMarker_Text_23	悪名高きベリンジャー兄弟は、2920年代初頭に自分たちの犯罪行為に反対する者を処分するために繰り返し使用したことから、この間欠泉に「グッバイ・ガイザー」というニックネームをつけた。有名な賞金稼ぎのブリー・クズネツォフを含む、少なくとも14人の人間が最後に眠っていると考えられている。この場所から遺体を回収しようとしたが、失敗に終わった。								
Crus_HistMarker_Text_24	2909年、有名な植物学者ブライアン・シャキールは、デイマーの多様な植物のカタログ作成を始めた。Daymar in Bloom」として出版されました。A Flora Field Guide to Stanton 2b」として出版されたこの本は、今でも多くの人がこの問題に関する決定的な資料と考えています。								
Crus_HistMarker_Text_25	エルマ・トリオロは2909年にこの場所で生まれ、イェーラで生まれた最初の人となった。彼女の両親であるアルバートとノラ・トリオロは、レースに参加するために月に向かっていたが、ノラが陣痛に襲われた。出産のために最寄りの医療施設に行くことができなかったアルバートは、この場所にコンステレーションを着陸させ、助産師としての役割を果たした。								
Crus_HistMarker_Text_26	クルセイダーがこのガス惑星とその衛星を購入する前は、UEE海軍がこの星系の一部を支配していた。2904年、UEE海軍はクルセイダー星の大気圏上層部にある造船所を支援・監視するための軍事施設を設置した。この施設は2908年に退役して移転した。								
Crus_HistMarker_Text_27	2927年後半から2929年にかけて、ハーストンと労働者の関係が悪化し、一連の暴動が発生した。これを受けてハーストン社は15ヶ月間に渡って惑星との行き来を厳しく制限した。多くの労働者がこの危険な状況からの脱出を望んだが、その手段を持つ者はほとんどいなかった。一つの光明となったのは、ハーストン・ホットラインと呼ばれる、周波数が常に変化する通信チャンネルだった。このチャンネルの周波数を知っている人は、この惑星からの脱出を手助けしてもらうことができた。具体的な指示は、ボランティアのパイロットに直接伝えられ、正確に従わなければならない。この騒乱期にハーストン・ホットラインを担当していた労働運動家のネットワークは、逃亡する労働者を星系外に移動させる前に、この場所で避難させていた。								
Crus_HistMarker_Text_28	チェリンは、古典的な童話「ババへの贈り物」に登場する末っ子の兄弟にちなんで名付けられました。月にはたくさんの休火山があり、主人公の煮えたぎる怒りを体現しています。火山学者によってチェリンズ・ピークと名付けられたこの休火山は、いつの日か活動を開始する可能性が高いと考えられているため、注意深く監視されています。								
Crus_HistMarker_Text_29	デイマーは『ババへの贈り物』の中の兄の名前からとったもの。迷子になりやすいことで知られるこのキャラクターの名前は、初期の探検家がこの曲がりくねった峡谷に付けたものでもあります。								
Crus_HistMarker_Text_30	イェーラは「A Gift for Baba」に登場する長女で、冷静で計算高い性格であることから名付けられた。この広大な平原は、第一次月面探査隊が記録した最も寒い温度を記録したことから、「イェーラの平原」と呼ばれるようになった。								
Crus_HistMarker_Text_31	チェリンの間欠泉の研究は、2908年にこの地に建設された観測所から始まりました。地質学者のランデル・エングラーは10年近くかけてこの自然の驚異を調査しました。彼は、月の間欠泉が、重要な栄養素やミネラルを土壌に分散させるのに重要な役割を果たしているという仮説を初めて立てた。								
Crus_HistMarker_Text_32	コスティガン大使は2944年にスタントン星系を訪れた際、ここガリテ・ファミリー・ファームで食事をしました。当時、上院で審議されていた農業補助金法案の恩恵を受けられる、帝国内の勤勉な独立農家に注目してもらいたいと考えたからだ。								
Crus_HistMarker_Text_33	2927年、ファキ・ボリソフは遺伝子組み換えされた大型のタラバガニの群れをデイマーに導入した。月の乾燥した環境に耐えられるように品種改良されたカニたちは、10年近くにわたってデイマーのこの地域を歩き回ったが、月を牧場のパラダイスにするというボリソフの夢は実現しなかった。ボリソフの計画では、カニが月の限られた自然の植物を食べることが重要だったが、そうするとカニから作られた製品に不快な臭いがついてしまうのである。 								
Crus_HistMarker_Text_34	2924年8月22日、アマチュア考古学者のソニー・パックが、この月に生息する新種の感覚を持つ生物のものだと主張する化石を公開した。この発見のニュースは世界中に広まり、科学界を沸かせた。しかし、ソニーは科学者に標本を調べさせる代わりに、その化石を宣伝ツアーに連れて行き、希望者にはチケットを販売したのである。彼の行為は科学界から非難され、UEE政府の介入を経て、化石は偽物であることが証明された。								
Crus_HistMarker_Text_35	ロマンチックな人々は、この岩棚で愛を誓った恋人たちは永遠に一緒にいられると信じている。この伝説は、悪名高いアウトローのカップル、アキコ・'ジャッカル'・バジンとリック・'シャディ'・ミリガンの不気味な物語に由来している。2913年、二人は捕まる寸前に投獄を避け、手をつないで飛び降り自殺をしました。								
Crus_HistMarker_Text_36	2940年12月31日、データボールチーム「スタントンナイツ」は、船の緊急修理のためにここに上陸した。翌日のキール・ガーディアンズとの優勝戦に向けて戦略を練っていた。チームのメンバーによると、ナイツはここで、今では有名な「フランクリン・フリップ」というプレーを思いついたという。このプレーがチームを勝利に導き、クラブ史上初のSBPL優勝をもたらした。								
Crus_HistMarker_Text_37	2904年3月17日、メイコ・ノーウッドは土のサンプルを船に積み込んでいる最中にここで倒れた。メイコ・ノーウッドはその日のうちに人工心臓弁の合併症のために亡くなり、デイマーで亡くなった最初の人物となった。								
Crus_HistMarker_Text_38	2939年、クルセイダー・セキュリティは、クレジット・チットの大規模な窃盗に関連して指名手配されていた逃亡者をここで逮捕しました。お金は逮捕されませんでしたが、その無法者が掘り出す道具を持っているという噂が流れました。それ以来、トレジャーハンターたちは、失われた財産を求めてこの場所に集まってきました。\n\nクルセイダー・インダストリー社は、月の自然の美しさを保つために、この地域を掘ることを控え、地表に出たものは元の場所に戻してほしいと願っている。								
Crus_HistMarker_Text_39	"長い間行方不明だったグレッグ・コールドウェルの絵画 ""The Starman's Farewell ""は、2908年にこの場所の石のケルンの下に埋められているのが発見された。2731年にTerra Museum of Contemporary Artから盗まれたこの作品が、どのようにしてここに持ち込まれたのかは謎に包まれている。絵はテラに戻された。"								
Crus_HistMarker_Text_40	2945年、独立した採掘者ブルース・アモデオは、この前哨基地の近くで大きなセレンディバイトの宝石を発見した。オークションで匿名の買い手に売却されたこの石は、セレンディバイトに費やされた1カラットあたりのクレジット数の記録を更新した。それ以来、セレンディバイトの鉱床を求めて鉱山労働者がこの地に集まってきた。								
Crus_HistMarker_Text_41	2941年5月15日、生命維持装置の故障によりクアドラードの前哨基地が悲劇に見舞われた。前哨基地内に漏れた過剰な酸素に火がつき、爆発して9人の命が奪われたのだ。この事故を受けて、クルセイダー・インダストリー社は前哨基地の規制を強化し、すべての施設の保守点検をより頻繁に行うことを義務付けました。								
Crus_HistMarker_Text_42	クルセイダー・インダストリーは、Bountiful Harvest Hydroponics社のベガで困っている人々への並外れた対応を称賛します。2945年10月5日の恐ろしいヴァンドゥールの攻撃の後、Bountiful Harvestはベガの救援活動のために、クルセイダーの月にある他のどの前哨基地よりも多くの緊急食料品を生産し、寄付しました。この前哨基地の並外れた犠牲は、UEEがヴァンドゥールの脅威に直面した人々を常に支援することを思い出させてくれます。								
Crus_HistMarker_Text_43	有名な女優であり、著名なナチュリストでもあるミリセント・シルバートンは、この辺の荒野によくキャンプに来ていました。彼女はこの場所をとても気に入っており、2941年の映画「Onto the Break」にこの場所を登場させるよう嘆願した。								
Crus_HistMarker_Text_44	ここの間欠泉には独特の小さな裂け目があり、圧力が一定以上になると「うめき声」のような音がします。この現象により、この場所には幽霊が出るという誤った噂が広まったのです。								
Crus_HistMarker_Text_45	2932年、この場所で悪名高い「スリム・チャンス・ラリー」が開催されました。年に一度、人里離れた場所にグレイキャットバギーの愛好家が集まり、違法な破壊ダービーを行います。								
Crus_HistMarker_Text_46	クルセイダー・インダストリー社は、新設計の船の着陸システムの実地テストに、この場所とその不規則な地形をよく利用している。2934年3月25日、失敗に終わったJuno船の最初で唯一の着陸はここで行われた。								
Crus_HistMarker_Title_01	ボルテックス・トーソンの生誕地								
Crus_HistMarker_Title_02	Ceprozinの誕生								
Crus_HistMarker_Title_03	最初のテラベリー								
Crus_HistMarker_Title_04	バスティアン・ネミッツの救出								
Crus_HistMarker_Title_05	中村渓谷シェルター								
Crus_HistMarker_Title_06	コッソウ盆地								
Crus_HistMarker_Title_07	アストン・リッジ								
Crus_HistMarker_Title_08	ウルフポイント								
Crus_HistMarker_Title_09	ダンロー・リッジ								
Crus_HistMarker_Title_10	イーガー・フラッツ								
Crus_HistMarker_Title_11	タムドン平原								
Crus_HistMarker_Title_12	モゴテ・マーマレード								
Crus_HistMarker_Title_13	アッシュバーンチャネル								
Crus_HistMarker_Title_14	フラナガンズ・パス								
Crus_HistMarker_Title_15	ジュレップ・ラヴィーン								
Crus_HistMarker_Title_16	レイクドラのラップ								
Crus_HistMarker_Title_17	ダーネル・アジャイ邸								
Crus_HistMarker_Title_18	フィリップ・シュー邸								
Crus_HistMarker_Title_19	ウィルマ・アイベリー邸								
Crus_HistMarker_Title_20	トレメインの最後の砦								
Crus_HistMarker_Title_21	ファウリーの旅								
Crus_HistMarker_Title_22	エスター・ハーストンの救出								
Crus_HistMarker_Title_23	グッバイ・ガイザー								
Crus_HistMarker_Title_24	デイマー・イン・ブルーム								
